Date,Last Price,Volume,SMAVG (15)
2023-10-30 13:30:00,106.05,1484477,1301223

2023-10-27 20:30:00,105.56,2023372,1252299

2023-10-27 20:00:00,105.33,812858,1172384

2023-10-27 19:30:00,105.29,843708,1155992

2023-10-27 19:00:00,105.86,698493,1137732

2023-10-27 18:30:00,105.89,944210,1130193

2023-10-27 18:00:00,105.44,930217,1105933

2023-10-27 17:30:00,105.35,886632,1082978

2023-10-27 17:00:00,105.085,777702,1087979

2023-10-27 16:30:00,105.61,1217891,1089174

2023-10-27 16:00:00,105.12,1077332,1060093

2023-10-27 15:30:00,105.595,1307342,1049291

2023-10-27 15:00:00,106.21,1379384,1076835

2023-10-27 14:30:00,106.25,2743512,1130149

2023-10-26 20:30:00,107.55,2391221,991331

2023-10-26 20:00:00,107.38,750603,862131

2023-10-26 19:30:00,107.365,824656,850853

2023-10-26 19:00:00,107.113,566976,831757

2023-10-26 18:30:00,107.04,569806,838521

2023-10-26 18:00:00,106.95,585414,836776

2023-10-26 17:30:00,107.04,580303,843846

2023-10-26 17:00:00,106.925,585894,858905

2023-10-26 16:30:00,107.37,961655,894300

2023-10-26 16:00:00,107.185,795613,907991

2023-10-26 15:30:00,107.79,781678,938749

2023-10-26 15:00:00,107.775,915307,992747

2023-10-26 14:30:00,107.26,1720499,1116790

2023-10-25 20:30:00,108.58,2179102,1052421

2023-10-25 20:00:00,108.71,661235,942211

2023-10-25 19:30:00,108.745,453219,934361

2023-10-25 19:00:00,108.78,581442,942004

2023-10-25 18:30:00,108.565,538218,943507

2023-10-25 18:00:00,108.50,668433,946737

2023-10-25 17:30:00,108.4701,543621,942041

2023-10-25 17:00:00,108.58,691472,951389

2023-10-25 16:30:00,108.57,806182,943211

2023-10-25 16:00:00,108.45,1116827,943527

2023-10-25 15:30:00,108.47,1167014,924762

2023-10-25 15:00:00,108.6399,1256980,954311

2023-10-25 14:30:00,109.05,1591650,1022928

2023-10-24 20:30:00,108.39,2775961,978542

2023-10-24 20:00:00,108.55,754951,826936

2023-10-24 19:30:00,108.645,525962,821251

2023-10-24 19:00:00,108.81,543481,821464

2023-10-24 18:30:00,108.80,567873,819226

2023-10-24 18:00:00,108.74,603983,819556

2023-10-24 17:30:00,108.425,586665,819376

2023-10-24 17:00:00,108.4854,597991,823123

2023-10-24 16:30:00,108.725,683840,843374

2023-10-24 16:00:00,108.76,568809,872836

2023-10-24 15:30:00,109.05,810919,895929

2023-10-24 15:00:00,109.16,835357,998857

2023-10-24 14:30:00,109.12,1610239,1155465

2023-10-23 20:30:00,109.42,2286238,1109724

2023-10-23 20:00:00,109.02,925864,997405

2023-10-23 19:30:00,109.15,501873,981183

2023-10-23 19:00:00,108.83,669675,989223

2023-10-23 18:30:00,109.29,529148,1013820

2023-10-23 18:00:00,109.12,509922,1021559

2023-10-23 17:30:00,109.51,572818,1036998

2023-10-23 17:00:00,109.37,601288,1063155

2023-10-23 16:30:00,110.05,642859,1086343

2023-10-23 16:00:00,110.23,901755,1113195

2023-10-23 15:30:00,109.61,1125772,1127435

2023-10-23 15:00:00,109.56,915207,1221230

2023-10-23 14:30:00,110.335,2354838,1299938

2023-10-20 20:30:00,111.07,3184483,1212614

2023-10-20 20:00:00,111.255,924122,1049131

2023-10-20 19:30:00,111.44,601445,1043627

2023-10-20 19:00:00,111.48,682540,1041663

2023-10-20 18:30:00,111.635,622467,1037446

2023-10-20 18:00:00,111.61,1038638,1045782

2023-10-20 17:30:00,111.6043,645236,1039700

2023-10-20 17:00:00,111.945,741496,1058633

2023-10-20 16:30:00,111.97,965171,1097984

2023-10-20 16:00:00,112.05,949117,1102359

2023-10-20 15:30:00,111.85,1045641,1099435

2023-10-20 15:00:00,111.54,1115351,1154993

2023-10-20 14:30:00,112.195,2532691,1265096

2023-10-19 20:30:00,113.02,2095837,1168958

2023-10-19 20:00:00,112.95,1044972,1088413

2023-10-19 19:30:00,112.89,732234,1073934

2023-10-19 19:00:00,113.07,841576,1074644

2023-10-19 18:30:00,113.15,571976,1064400

2023-10-19 18:00:00,113.49,619291,1058786

2023-10-19 17:30:00,113.4619,747499,1074189

2023-10-19 17:00:00,113.50,947416,1103133

2023-10-19 16:30:00,113.4999,929231,1112273

2023-10-19 16:00:00,113.3566,1331756,1131365

2023-10-19 15:30:00,112.73,1030794,1181019

2023-10-19 15:00:00,112.46,905265,1303506

2023-10-19 14:30:00,111.92,1879008,1405585

2023-10-18 20:30:00,112.94,2766895,1339593

2023-10-18 20:00:00,112.685,1090620,1209658

2023-10-18 19:30:00,112.87,887667,1188626

2023-10-18 19:00:00,113.095,827775,1175877

2023-10-18 18:30:00,112.81,742891,1160681

2023-10-18 18:00:00,113.085,687921,1160961

2023-10-18 17:30:00,112.665,487762,1150263

2023-10-18 17:00:00,112.475,850331,1203466

2023-10-18 16:30:00,112.70,1181668,1229093

2023-10-18 16:00:00,112.93,1084515,1243701

2023-10-18 15:30:00,112.88,1215608,1251570

2023-10-18 15:00:00,113.07,2076562,1287224

2023-10-18 14:30:00,112.77,2868102,1306605

2023-10-17 20:30:00,111.38,2436456,1163306

2023-10-17 20:00:00,111.52,889125,1051323

2023-10-17 19:30:00,111.28,817870,1039101

2023-10-17 19:00:00,111.315,775130,1021415

2023-10-17 18:30:00,111.005,696445,1022936

2023-10-17 18:00:00,110.95,599835,1010899

2023-10-17 17:30:00,110.90,747089,1008287

2023-10-17 17:00:00,111.135,527440,1005380

2023-10-17 16:30:00,111.17,1285813,1025773

2023-10-17 16:00:00,111.25,1234742,997968

2023-10-17 15:30:00,111.24,1400782,993766

2023-10-17 15:00:00,111.07,1202544,1034328

2023-10-17 14:30:00,110.63,1750428,1176134

2023-10-16 20:30:00,109.91,2367269,1137891

2023-10-16 20:00:00,109.97,718618,1058614

2023-10-16 19:30:00,109.99,756720,1092568

2023-10-16 19:00:00,109.825,705784,1110186

2023-10-16 18:30:00,109.96,552591,1140714

2023-10-16 18:00:00,109.99,797935,1195655

2023-10-16 17:30:00,109.86,515888,1229118

2023-10-16 17:00:00,109.685,560657,1269006

2023-10-16 16:30:00,109.82,703488,1296356

2023-10-16 16:00:00,110.06,833335,1329642

2023-10-16 15:30:00,109.83,868733,1388204

2023-10-16 15:00:00,109.65,1171713,1563248

2023-10-16 14:30:00,109.48,2009222,1712184

2023-10-13 20:30:00,109.90,3329625,1657117

2023-10-13 20:00:00,109.895,1176784,1493371

2023-10-13 19:30:00,109.94,1178122,1532718

2023-10-13 19:00:00,110.02,1227918,1523671

2023-10-13 18:30:00,109.85,1020998,1530830

2023-10-13 18:00:00,109.675,1163698,1551356

2023-10-13 17:30:00,110.01,1376713,1534541

2023-10-13 17:00:00,109.855,1299869,1505652

2023-10-13 16:30:00,109.21,1114219,1516936

2023-10-13 16:00:00,108.885,970908,1529766

2023-10-13 15:30:00,108.735,1202766,1604068

2023-10-13 15:00:00,108.815,1711772,1758894

2023-10-13 14:30:00,108.30,3494385,2057711

2023-10-12 20:30:00,106.43,3405756,1981015

2023-10-12 20:00:00,106.605,1183227,1864031

2023-10-12 19:30:00,106.66,873433,1880709

2023-10-12 19:00:00,106.42,1766986,1922721

2023-10-12 18:30:00,106.55,1042416,1922348

2023-10-12 18:00:00,106.72,1335301,1994455

2023-10-12 17:30:00,107.17,1328888,2096182

2023-10-12 17:00:00,107.17,911477,2151662

2023-10-12 16:30:00,107.3599,943381,2255223

2023-10-12 16:00:00,107.185,1469122,2455009

2023-10-12 15:30:00,107.12,1306666,2684137

2023-10-12 15:00:00,107.17,2085442,3101689

2023-10-12 14:30:00,107.31,3525164,3092906

2023-10-11 20:30:00,106.47,6194027,2887330

2023-10-11 20:00:00,105.65,2343935,2504387

2023-10-11 19:30:00,105.825,1651004,2377018

2023-10-11 19:00:00,105.765,1433387,2300286

